Country,Domain,Category,Year
Australia,Fashion,Clothing,2010
Australia,Fashion,Clothing,2011
Australia,Fashion,Clothing,2012
Australia,Fashion,Clothing,2013
Australia,Fashion,Clothing,2010
Australia,Fashion,Clothing,2011
Australia,Fashion,Clothing,2012
Australia,Fashion,Clothing,2013
Australia,Fashion,Clothing,2010
Australia,Fashion,Clothing,2011
Australia,Fashion,Clothing,2012
Australia,Fashion,Clothing,2013
Australia,Fashion,Clothing,2010
Australia,Fashion,Clothing,2011
Australia,Fashion,Clothing,2012
Australia,Fashion,Clothing,2013
Australia,Electronics,Cellphone,2010
Australia,Electronics,Cellphone,2011
Australia,Electronics,Cellphone,2012
Australia,Electronics,Cellphone,2013
Australia,Electronics,Cellphone,2010
Australia,Electronics,Cellphone,2011
Australia,Electronics,Cellphone,2012
Australia,Electronics,Cellphone,2013
Australia,Fashion,Clothing,2010
Australia,Fashion,Clothing,2011
Australia,Fashion,Clothing,2012
Australia,Fashion,Clothing,2013
Australia,Fashion,Clothing,2010
Australia,Fashion,Clothing,2011
Australia,Fashion,Clothing,2012
Australia,Fashion,Clothing,2013
Australia,Fashion,Clothing,2010
Australia,Fashion,Clothing,2011
Australia,Fashion,Clothing,2012
Australia,Fashion,Clothing,2013
Australia,Fashion,Clothing,2010
Australia,Fashion,Clothing,2011
Australia,Fashion,Clothing,2012
Australia,Fashion,Clothing,2013
Australia,Electronics,Cellphone,2010
Australia,Electronics,Cellphone,2011
Australia,Electronics,Cellphone,2012
Australia,Electronics,Cellphone,2013
Australia,Electronics,Cellphone,2010
Australia,Electronics,Cellphone,2011
Australia,Electronics,Cellphone,2012
Australia,Electronics,Cellphone,2013
Australia,Electronics,Cellphone,2010
Australia,Electronics,Cellphone,2011
Australia,Electronics,Cellphone,2012
Australia,Electronics,Cellphone,2013
Australia,Electronics,Cellphone,2010
Australia,Electronics,Cellphone,2011
Australia,Electronics,Cellphone,2012
Australia,Electronics,Cellphone,2013
Australia,Home & Furniture,Beds,2011
Australia,Home & Furniture,Beds,2012
Australia,Home & Furniture,Beds,2013
Australia,Home & Furniture,Beds,2010
Australia,Home & Furniture,Beds,2011
Australia,Home & Furniture,Beds,2012
Australia,Home & Furniture,Beds,2013
Australia,Personal Care,Make up,2010
Australia,Personal Care,Make up,2011
Australia,Personal Care,Make up,2012
Australia,Personal Care,Make up,2013
Australia,Personal Care,Make up,2010
Australia,Personal Care,Make up,2011
Australia,Personal Care,Make up,2012
Australia,Personal Care,Make up,2013
Australia,Home & Furniture,Beds,2010
Australia,Home & Furniture,Beds,2011
Australia,Home & Furniture,Beds,2012
Australia,Home & Furniture,Beds,2013
Australia,Home & Furniture,Beds,2010
Australia,Home & Furniture,Beds,2011
Australia,Home & Furniture,Beds,2012
Australia,Home & Furniture,Beds,2013
Australia,Home & Furniture,Beds,2010
Australia,Home & Furniture,Beds,2011
Australia,Home & Furniture,Beds,2012
Australia,Home & Furniture,Beds,2013
Australia,Home & Furniture,Beds,2010
Australia,Home & Furniture,Beds,2011
Australia,Home & Furniture,Beds,2012
Australia,Home & Furniture,Beds,2013
Australia,Fashion,Clothing,2010
Australia,Fashion,Clothing,2011
Australia,Fashion,Clothing,2012
Australia,Fashion,Clothing,2013
Australia,Fashion,Clothing,2010
Australia,Fashion,Clothing,2011
Australia,Fashion,Clothing,2012
Australia,Fashion,Clothing,2013
Australia,Fashion,Clothing,2010
Australia,Fashion,Clothing,2011
Australia,Fashion,Clothing,2012
Australia,Fashion,Clothing,2013
Australia,Fashion,Clothing,2010
Australia,Fashion,Clothing,2011
Australia,Fashion,Clothing,2012
Australia,Fashion,Clothing,2013
Australia,Fashion,Clothing,2010
Australia,Fashion,Clothing,2011
Australia,Fashion,Clothing,2012
Australia,Fashion,Clothing,2013
Australia,Fashion,Clothing,2010
Australia,Fashion,Clothing,2011
Australia,Fashion,Clothing,2012
Australia,Fashion,Clothing,2013
Australia,Electronics,Cellphone,2010
Australia,Electronics,Cellphone,2011
Australia,Electronics,Cellphone,2012
Australia,Electronics,Laptop,2013
Australia,Electronics,Laptop,2010
Australia,Electronics,Laptop,2011
Australia,Electronics,Laptop,2012
Australia,Electronics,Laptop,2013
Australia,Electronics,Laptop,2010
Australia,Electronics,Laptop,2011
Australia,Electronics,Laptop,2012
Australia,Electronics,Laptop,2013
Australia,Electronics,Laptop,2010
Australia,Electronics,Laptop,2011
Australia,Electronics,Laptop,2012
Australia,Electronics,Laptop,2013
Australia,Home & Furniture,Beds,2010
Australia,Home & Furniture,Beds,2011
Australia,Home & Furniture,Beds,2012
Australia,Home & Furniture,Beds,2013
Australia,Home & Furniture,Beds,2010
Australia,Home & Furniture,Beds,2011
Australia,Home & Furniture,Beds,2012
Australia,Home & Furniture,Beds,2013
Australia,Home & Furniture,Beds,2010
Australia,Home & Furniture,Beds,2011
Australia,Home & Furniture,Sofas,2012
Australia,Home & Furniture,Sofas,2013
Australia,Home & Furniture,Sofas,2010
Australia,Home & Furniture,Sofas,2011
Australia,Home & Furniture,Sofas,2012
Australia,Home & Furniture,Sofas,2013
Australia,Home & Furniture,Sofas,2010
Australia,Home & Furniture,Sofas,2011
Australia,Home & Furniture,Sofas,2012
Australia,Home & Furniture,Sofas,2013
Australia,Home & Furniture,Sofas,2010
Australia,Home & Furniture,Sofas,2011
Australia,Home & Furniture,Sofas,2012
Australia,Home & Furniture,Sofas,2013
Australia,Home & Furniture,Sofas,2010
Australia,Home & Furniture,Sofas,2011
Australia,Home & Furniture,Sofas,2012
Australia,Home & Furniture,Sofas,2013
Australia,Home & Furniture,Sofas,2010
Australia,Home & Furniture,Sofas,2011
Australia,Home & Furniture,Sofas,2012
Australia,Home & Furniture,Sofas,2013
Australia,Sports,Cricket,2010
Australia,Sports,Cricket,2011
Australia,Sports,Cricket,2012
Australia,Sports,Cricket,2013
Australia,Sports,Cricket,2010
Australia,Sports,Cricket,2011
Australia,Sports,Cricket,2012
Australia,Sports,Cricket,2013
Australia,Sports,Cricket,2010
Australia,Sports,Cricket,2011
Australia,Sports,Cricket,2012
Australia,Sports,Cricket,2013
Australia,Sports,Cricket,2010
Australia,Sports,Cricket,2011
Australia,Sports,Cricket,2012
Australia,Sports,Cricket,2013
Australia,Sports,Cricket,2010
Australia,Sports,Cricket,2011
Australia,Sports,Cricket,2012
Australia,Sports,Cricket,2013
Australia,Sports,Cricket,2010
Australia,Sports,Cricket,2011
Australia,Sports,Cricket,2012
Australia,Sports,Cricket,2013
Australia,Sports,Cricket,2010
Australia,Sports,Cricket,2011
Australia,Sports,Cricket,2012
Australia,Sports,Cricket,2013
Australia,Sports,Cricket,2010
Australia,Sports,Cricket,2011
Australia,Sports,Cricket,2012
Australia,Sports,Cricket,2013
India,Fashion,Clothing,2010
India,Fashion,Clothing,2011
India,Fashion,Clothing,2012
India,Fashion,Clothing,2013
India,Fashion,Clothing,2010
India,Fashion,Clothing,2011
India,Fashion,Clothing,2012
India,Fashion,Clothing,2013
India,Fashion,Clothing,2010
India,Fashion,Clothing,2011
India,Fashion,Clothing,2012
India,Fashion,Clothing,2013
India,Fashion,Clothing,2010
India,Fashion,Clothing,2011
India,Fashion,Clothing,2012
India,Fashion,Clothing,2013
India,Electronics,Laptop,2010
India,Electronics,Laptop,2011
India,Electronics,Laptop,2012
India,Electronics,Laptop,2013
India,Electronics,Laptop,2010
India,Electronics,Laptop,2011
India,Electronics,Laptop,2012
India,Electronics,Laptop,2013
India,Fashion,Clothing,2010
India,Fashion,Clothing,2011
India,Fashion,Footwear,2012
India,Fashion,Footwear,2013
India,Fashion,Footwear,2010
India,Fashion,Footwear,2011
India,Fashion,Footwear,2012
India,Fashion,Footwear,2013
India,Fashion,Footwear,2010
India,Fashion,Footwear,2011
India,Fashion,Footwear,2012
India,Fashion,Footwear,2013
India,Fashion,Footwear,2010
India,Fashion,Footwear,2011
India,Fashion,Footwear,2012
India,Fashion,Footwear,2013
India,Electronics,Laptop,2010
India,Electronics,Laptop,2011
India,Electronics,Laptop,2012
India,Electronics,Laptop,2013
India,Electronics,Laptop,2010
India,Electronics,Laptop,2011
India,Electronics,Laptop,2012
India,Electronics,Laptop,2013
India,Electronics,Laptop,2010
India,Electronics,Laptop,2011
India,Electronics,Laptop,2012
India,Electronics,Laptop,2013
India,Electronics,Laptop,2010
India,Electronics,Laptop,2011
India,Electronics,Laptop,2012
India,Electronics,Laptop,2013
India,Home & Furniture,Sofas,2010
India,Home & Furniture,Sofas,2011
India,Home & Furniture,Sofas,2012
India,Home & Furniture,Sofas,2013
India,Home & Furniture,Sofas,2010
India,Home & Furniture,Sofas,2011
India,Home & Furniture,Sofas,2012
India,Home & Furniture,Sofas,2013
India,Home & Furniture,Sofas,2010
India,Home & Furniture,Sofas,2011
India,Home & Furniture,Sofas,2012
India,Home & Furniture,Sofas,2013
India,Home & Furniture,Sofas,2010
India,Home & Furniture,Sofas,2011
India,Home & Furniture,Sofas,2012
India,Home & Furniture,Sofas,2013
India,Home & Furniture,Sofas,2010
India,Home & Furniture,Sofas,2011
India,Home & Furniture,Sofas,2012
India,Home & Furniture,Sofas,2013
India,Home & Furniture,Sofas,2010
India,Home & Furniture,Sofas,2011
India,Home & Furniture,Sofas,2012
India,Home & Furniture,Sofas,2013
India,Home & Furniture,Sofas,2010
India,Home & Furniture,Sofas,2011
India,Home & Furniture,Sofas,2012
India,Home & Furniture,Sofas,2013
India,Home & Furniture,Sofas,2010
India,Home & Furniture,Sofas,2011
India,Home & Furniture,Sofas,2012
India,Home & Furniture,Sofas,2013
India,Fashion,Footwear,2010
India,Fashion,Footwear,2011
India,Fashion,Footwear,2012
India,Fashion,Footwear,2013
India,Fashion,Footwear,2010
India,Fashion,Footwear,2011
India,Fashion,Footwear,2012
India,Fashion,Footwear,2013
India,Fashion,Footwear,2010
India,Fashion,Footwear,2011
